Branch Name,Address,Province,Type,Agent
C.J KALYANKEH DRUG STORE,"29 Jui Junction, Freetown/ Sierra Leone",WESTERN AREA,RURAL,
C.A.J PHARMACY,"46 Main Motor Road, Waterloo Freetown/ Sierra Leone",WESTERN AREA,RURAL,
RAM & BROTHERS DRUG  STORE  & COMESTICS ENTERPRISE,"555 Lorry Park Waterloo, Freetown/ Sierra Leone",WESTERN AREA,RURAL,
Leigh and Sons Drug Store,"54 Main Motor Road Waterloo, Bassatown,Freetown/Sierra Leone",WESTERN AREA,RURAL,
ABDRED DRUG Store,"44 Upper New York, Yams Farm,Freetown/Sierra Leone",WESTERN AREA,RURAL,
Imao Enterprise,"1 Liverpool Street,Tombo Park,Waterloo",WESTERN AREA,RURAL,
BINTA ENTERPRISE,"Tombo Pepper Junction, Tombo/Sierra Leone",WESTERN AREA,RURAL,
SALLCHRISS DRUG STORE,"42 Dakiyai Street, Kenema/ Sierra Leone",,,KENEMA AGENT
PEOPLE’S PHARMACY,"45e Fenton Road, BO/ Sierra Leone",,,BO AGENT
Zackharia Enterprise,Hospital Junction Njala Mokonde,,,BO AGENT
TAMARANEH & SONS ENTERPRISE,"Empire Junction / Moriba Town Sierra Rutile, Sierra Leone",,,BO AGENT
FULLAMANSA INVESTMENT,"12 Siaki Bockarie Street,  Opposite Africell Office, Kabala Town, Kabala/ Sierra Leone",,,KABALA AGENT
FULLAMANSA INVESTMENT,"6 Seria Road Opposite RC School Mongo, Bendguma Falaba, District/ Sierra Leone",,,FALABA AGENT
YAYAH I J DRUG STORE,"4 Rogbane Road, Makeni/ Sierra Leone",,,MAKENI AGENT
WE YONE SAHID ENTERPRISE,"1 Hospital Road, Port Loko/ Sierra Leone",,,PORT LOKO AGENT
MORNING SIDE ENTERPRISE,"1 Enerst Bai Koroma Street, Lungi Airport Junction/ Sierra Leone",,,PORT LOKO AGENT
PEOPLES PHARMACY,"Barracks Road, Kambia/ Sierra Leone",,,KAMBIA AGENT
